Chassis_DMC              	FAN_DMC     	PCB_DMC       
09815-01100112001/10/2022	98151N4000GU	00889920990001
09815-01100112002/10/2022	98151N4000GV	00889920990002
09815-01100112003/10/2022	98151N4000GW	00889920990003
09815-01100112004/10/2022	98151N4000GX	00889920990004
09815-01100112005/10/2022	98151N4000GY	00889920990005
09815-01100112006/10/2022	98151N4000GZ	00889920990006
09815-01100112007/10/2022	98151N4000H0	00889920990007
09815-01100112008/10/2022	98151N4000H1	00889920990008
09815-01100112009/10/2022	98151N4000H2	00889920990009
09815-01100112010/10/2022	98151N4000H3	00889920990010
09815-01100112011/10/2022	98151N4000H4	00889920990011
09815-01100112012/10/2022	98151N4000H5	00889920990012
09815-01100112013/10/2022	98151N4000H6	00889920990013
09815-01100112014/10/2022	98151N4000H7	00889920990014
09815-01100112015/10/2022	98151N4000H8	00889920990015
09815-01100112016/10/2022	98151N4000H9	00889920990016
09815-01100112017/10/2022	98151N4000HA	00889920990017
09815-01100112018/10/2022	98151N4000HB	00889920990018
09815-01100112019/10/2022	98151N4000HC	00889920990019
09815-01100112020/10/2022	98151N4000HD	00889920990020
09815-01100112021/10/2022	98151N4000HE	00889920990021
09815-01100112022/10/2022	98151N4000HF	00889920990022
09815-01100112023/10/2022	98151N4000HG	00889920990023
09815-01100112024/10/2022	98151N4000HH	00889920990024
09815-01100112025/10/2022	98151N4000HI	00889920990025
09815-01100112026/10/2022	98151N4000HJ	00889920990026
09815-01100112027/10/2022	98151N4000HK	00889920990027
09815-01100112028/10/2022	98151N4000HL	00889920990028
09815-01100112029/10/2022	98151N4000HM	00889920990029
09815-01100112030/10/2022	98151N4000HN	00889920990030
09815-01100112031/10/2022	98151N4000HO	00889920990031
09815-01100112032/10/2022	98151N4000HP	00889920990032
09815-01100112033/10/2022	98151N4000HQ	00889920990033
09815-01100112034/10/2022	98151N4000HR	00889920990034
09815-01100112035/10/2022	98151N4000HS	00889920990035
09815-01100112036/10/2022	98151N4000HT	00889920990036
09815-01100112037/10/2022	98151N4000HU	00889920990037
09815-01100112038/10/2022	98151N4000HV	00889920990038
